,ID,cnt,time_A_total,time_b1,time_b2,time_B_total,time_start,time_end,time_solving,time_total,time_answer,time_not_answer,time_solving_2,events_num,avg_time_btw_events,sequence,length,credit,OECD
23,ARE000043610933,ARE,0,0,0,0,0,0,0,34.8,0,34.8,34.8,0,NA,NA,0,0,0
24,ARE000043610936,ARE,0,0,0,0,0,0,0,2.9,0,2.9,2.9,0,NA,NA,0,0,0
25,ARE000043610937,ARE,0,0,0,0,21.9,3.4,4.3,29.6,0,4.3,4.3,3,1.433333333,NA,0,0,0
26,ARE000022805828,ARE,0,0,0,0,125.6,8.8,0,134.4,0,0,0,0,NA,NA,0,0,0
27,ARE000022805850,ARE,0,0,0,0,3.1,3.5,4.7,11.3,0,4.7,4.7,3,1.566666667,NA,0,0,0
28,ARE000022805842,ARE,0,0,0,0,0,0,0,176.8,0,176.8,176.8,0,NA,NA,0,0,0
29,ARE000016904273,ARE,0,0,0,0,0,0,0,138.1,0,138.1,138.1,0,NA,NA,0,0,0
30,ARE000016904285,ARE,0,0,0,0,10.9,8.6,5.8,25.3,0,5.8,5.8,3,1.933333333,NA,0,0,0
31,ARE000016904292,ARE,0,0,0,0,12.7,4.7,4.3,21.7,0,4.3,4.3,3,1.433333333,NA,0,0,0
32,ARE000022305725,ARE,0,0,0,0,0,0,0,25.8,0,25.8,25.8,0,NA,NA,0,0,0
33,ARE000027006895,ARE,0,0,0,0,0,0,0,24.2,0,24.2,24.2,0,NA,NA,0,0,0
34,ARE000027006883,ARE,0,0,0,0,0,0,0,20.9,0,20.9,20.9,0,NA,NA,0,0,0
35,ARE000027006885,ARE,0,0,0,0,42.7,6.7,36.1,85.5,0,36.1,36.1,3,12.03333333,NA,0,0,0
36,ARE000007201881,ARE,0,0,0,0,20.5,7.2,5.2,32.9,0,5.2,5.2,3,1.733333333,NA,0,0,0
37,ARE000007201850,ARE,0,0,0,0,20,13.4,8.3,41.7,0,8.3,8.3,3,2.766666667,NA,0,0,0
38,ARE000007201854,ARE,0,0,0,0,28.2,12.6,35.4,76.2,0,35.4,35.4,3,11.8,NA,0,0,0
39,ARE000008402085,ARE,0,0,0,0,57.5,3.7,20.2,81.4,0,20.2,20.2,3,6.733333333,NA,0,0,0
40,ARE000008402063,ARE,0,0,0,0,5.1,2.9,0,8,0,0,0,0,NA,NA,0,0,0
41,ARE000034108646,ARE,0,0,0,0,9.1,4.6,9.2,22.9,0,9.2,9.2,4,2.3,NA,0,0,0
42,ARE000012403090,ARE,0,0,0,0,5.6,10.1,18.3,34,0,18.3,18.3,5,3.66,NA,0,0,0
43,ARE000012403084,ARE,0,0,0,0,27.8,4.2,5.5,37.5,0,5.5,5.5,3,1.833333333,NA,0,0,0
44,ARE000012403101,ARE,0,0,0,0,5.7,6,28.2,39.9,0,28.2,28.2,10,2.82,NA,0,0,0
45,ARE000016404128,ARE,0,0,0,0,12,5.5,0,17.5,0,0,0,0,NA,NA,0,0,0
46,ARE000016404132,ARE,0,0,0,0,0,0,0,4.4,0,4.4,4.4,0,NA,NA,0,0,0
47,ARE000011102758,ARE,0,0,0,0,0,0,0,28.1,0,28.1,28.1,0,NA,NA,0,0,0
48,ARE000011102744,ARE,0,0,0,0,0,0,0,14.4,0,14.4,14.4,0,NA,NA,0,0,0
49,ARE000011102732,ARE,0,0,0,0,18.2,4.5,19,41.7,0,19,19,5,3.8,NA,0,0,0
50,ARE000011302806,ARE,0,0,0,0,25.6,4.1,20.2,49.9,0,20.2,20.2,3,6.733333333,NA,0,0,0
51,ARE000011302820,ARE,0,0,0,0,35.8,19.7,11.7,67.2,0,11.7,11.7,4,2.925,NA,0,0,0
52,ARE000011302798,ARE,145.8,7.2,0,7.2,28.4,3,218,249.4,153,65,218,30,7.266666667,aab,3,1,0
53,ARE000013103277,ARE,0,0,0,0,7.1,8.2,10.3,25.6,0,10.3,10.3,3,3.433333333,NA,0,0,0
54,ARE000013103293,ARE,0,0,0,0,9.9,93.3,0,103.2,0,0,0,0,NA,NA,0,0,0
55,ARE000013103269,ARE,0,0,0,0,10,10.9,9.8,30.7,0,9.8,9.8,6,1.633333333,NA,0,0,0
56,ARE000000800197,ARE,0,0,0,0,19,3.2,30.6,52.8,0,30.6,30.6,3,10.2,NA,0,0,0
57,ARE000021005355,ARE,0,0,0,0,7.9,6.5,4.6,19,0,4.6,4.6,4,1.15,NA,0,0,0
58,ARE000021005339,ARE,0,0,0,0,0,0,0,22.8,0,22.8,22.8,0,NA,NA,0,0,0
59,ARE000018804815,ARE,0,0,0,0,9.4,29.1,9.1,47.6,0,9.1,9.1,7,1.3,NA,0,0,0
60,ARE000018804820,ARE,45.4,10.5,0,10.5,40.8,8.6,58.8,108.2,55.9,2.9,58.8,10,5.88,ab,2,1,0
61,ARE000037709532,ARE,0,0,0,0,6.4,16.5,21.4,44.3,0,21.4,21.4,3,7.133333333,NA,0,0,0
62,ARE000037709528,ARE,0,0,0,0,34,7.1,14.3,55.4,0,14.3,14.3,4,3.575,NA,0,0,0
63,ARE000037709529,ARE,0,0,0,0,12.3,13.9,6.2,32.4,0,6.2,6.2,3,2.066666667,NA,0,0,0
64,ARE000037709534,ARE,0,0,0,0,26.2,6.9,20.5,53.6,0,20.5,20.5,3,6.833333333,NA,0,0,0
65,ARE000030207669,ARE,0,0,0,0,29.7,21.4,19,70.1,0,19,19,4,4.75,NA,0,0,0
66,ARE000030207664,ARE,0,0,0,0,35.5,15.4,22.2,73.1,0,22.2,22.2,3,7.4,NA,0,0,0
67,ARE000030207674,ARE,0,0,0,0,26.8,5.6,45.2,77.6,0,45.2,45.2,6,7.533333333,NA,0,0,0
68,ARE000017704511,ARE,0,46.9,0,46.9,4,4.1,80.5,88.6,46.9,33.6,80.5,10,8.05,b,1,0,0
69,ARE000017704514,ARE,0,0,0,0,12.8,34.1,38.5,85.4,0,38.5,38.5,3,12.83333333,NA,0,0,0
70,ARE000017704508,ARE,0,0,0,0,77.9,7.2,11.9,97,0,11.9,11.9,3,3.966666667,NA,0,0,0
71,ARE000018604755,ARE,0,0,0,0,91.5,4.5,48.5,144.5,0,48.5,48.5,5,9.7,NA,0,0,0
72,ARE000003700908,ARE,0,0,0,0,22.7,3,11.4,37.1,0,11.4,11.4,4,2.85,NA,0,0,0
73,ARE000003700927,ARE,0,0,0,0,17,6,26.7,49.7,0,26.7,26.7,3,8.9,NA,0,0,0
74,ARE000003700911,ARE,0,0,0,0,63.4,3,11.2,77.6,0,11.2,11.2,4,2.8,NA,0,0,0
75,ARE000003700935,ARE,0,0,0,0,18.9,11.7,5.2,35.8,0,5.2,5.2,3,1.733333333,NA,0,0,0
76,ARE000014203591,ARE,0,0,0,0,130.8,4.5,45.2,180.5,0,45.2,45.2,8,5.65,NA,0,0,0
77,ARE000014203565,ARE,0,0,0,0,0,0,0,7.2,0,7.2,7.2,0,NA,NA,0,0,0
78,ARE000014203575,ARE,0,0,0,0,0,0,0,79.7,0,79.7,79.7,0,NA,NA,0,0,0
79,ARE000032308205,ARE,0,0,0,0,27.8,3.2,29.8,60.8,0,29.8,29.8,6,4.966666667,NA,0,0,0
80,ARE000032308224,ARE,0,0,0,0,16.4,4.1,36.8,57.3,0,36.8,36.8,9,4.088888889,NA,0,0,0
81,ARE000017804532,ARE,0,0,0,0,65.6,15.6,16,97.2,0,16,16,4,4,NA,0,0,0
82,ARE000007901996,ARE,0,0,0,0,25.4,2.3,7.1,34.8,0,7.1,7.1,3,2.366666667,NA,0,0,0
83,ARE000007902000,ARE,0,0,0,0,8.5,3.2,7.2,18.9,0,7.2,7.2,3,2.4,NA,0,0,0
84,ARE000043410901,ARE,0,0,0,0,73.7,6.5,17.2,97.4,0,17.2,17.2,3,5.733333333,NA,0,0,0
85,ARE000043410905,ARE,0,0,0,0,38,3.5,66.7,108.2,0,66.7,66.7,4,16.675,NA,0,0,0
86,ARE000032208192,ARE,0,31.3,0,31.3,90.6,3.6,72.4,166.6,31.3,41.1,72.4,9,8.044444444,b,1,0,0
87,ARE000032208194,ARE,0,0,0,0,16.4,11.9,17.1,45.4,0,17.1,17.1,3,5.7,NA,0,0,0
88,ARE000017304381,ARE,0,0,0,0,88.7,4.9,29.8,123.4,0,29.8,29.8,5,5.96,NA,0,0,0
89,ARE000017304379,ARE,0,0,0,0,93.4,4.4,14,111.8,0,14,14,3,4.666666667,NA,0,0,0
90,ARE000017304398,ARE,0,0,0,0,18.6,7.6,37.7,63.9,0,37.7,37.7,3,12.56666667,NA,0,0,0
91,ARE000033408443,ARE,0,0,0,0,0,0,0,12.5,0,12.5,12.5,0,NA,NA,0,0,0
92,ARE000033408442,ARE,0,0,0,0,15.5,2.3,30.2,48,0,30.2,30.2,6,5.033333333,NA,0,0,0
93,ARE000033408450,ARE,0,0,0,0,0,0,0,17.9,0,17.9,17.9,0,NA,NA,0,0,0
94,ARE000033408457,ARE,17.7,0,0,0,30.5,5.8,26.3,62.6,17.7,8.6,26.3,8,3.2875,a,1,0,0
95,ARE000039910042,ARE,10.9,4.3,26.2,30.5,20.8,3.2,70.3,94.3,41.4,28.9,70.3,43,1.634883721,babab,5,1,0
96,ARE000039910027,ARE,0,0,0,0,63.9,2.2,45.7,111.8,0,45.7,45.7,4,11.425,NA,0,0,0
97,ARE000027306962,ARE,0,0,0,0,23.7,4.7,18.3,46.7,0,18.3,18.3,5,3.66,NA,0,0,0
98,ARE000027306978,ARE,0,0,0,0,39.6,4.4,23,67,0,23,23,7,3.285714286,NA,0,0,0
99,ARE000027306969,ARE,0,0,0,0,26.2,55.7,10.4,92.3,0,10.4,10.4,4,2.6,NA,0,0,0
100,ARE000032108152,ARE,0,0,0,0,8.1,4,11.7,23.8,0,11.7,11.7,3,3.9,NA,0,0,0
101,ARE000032108164,ARE,0,0,0,0,58.4,3.6,45.9,107.9,0,45.9,45.9,8,5.7375,NA,0,0,0
102,ARE000002600602,ARE,0,0,0,0,9.5,5.3,21.4,36.2,0,21.4,21.4,4,5.35,NA,0,0,0
103,ARE000022005650,ARE,0,0,0,0,19.6,23.5,21.4,64.5,0,21.4,21.4,3,7.133333333,NA,0,0,0
104,ARE000024406202,ARE,0,0,0,0,12.1,3.8,4,19.9,0,4,4,3,1.333333333,NA,0,0,0
105,ARE000024406179,ARE,0,0,0,0,34.6,3.2,50.3,88.1,0,50.3,50.3,7,7.185714286,NA,0,0,0
106,ARE000028807341,ARE,20.2,0,0,0,51.5,3.9,46,101.4,20.2,25.8,46,12,3.833333333,a,1,0,0
107,ARE000008702148,ARE,0,0,0,0,57.4,9.4,15.5,82.3,0,15.5,15.5,3,5.166666667,NA,0,0,0
108,ARE000034908831,ARE,0,21.4,0,21.4,40.7,2.9,23.8,67.4,21.4,2.4,23.8,6,3.966666667,b,1,0,0
109,ARE000034908836,ARE,0,0,0,0,28.1,12.9,8.8,49.8,0,8.8,8.8,4,2.2,NA,0,0,0
110,ARE000036609196,ARE,0,0,0,0,0,0,0,10.4,0,10.4,10.4,0,NA,NA,0,0,0
111,ARE000036609203,ARE,0,0,0,0,51.5,7,4.7,63.2,0,4.7,4.7,3,1.566666667,NA,0,0,0
112,ARE000036609192,ARE,0,0,0,0,22.2,21.3,14.6,58.1,0,14.6,14.6,7,2.085714286,NA,0,0,0
113,ARE000023205960,ARE,0,0,0,0,0,0,0,17.7,0,17.7,17.7,0,NA,NA,0,0,0
114,ARE000023205970,ARE,0,0,0,0,0,0,0,4.4,0,4.4,4.4,0,NA,NA,0,0,0
115,ARE000038509698,ARE,0,0,0,0,27.4,0.8,20.9,49.1,0,20.9,20.9,4,5.225,NA,0,0,0
116,ARE000038509694,ARE,0,0,0,0,0,0,0,16.8,0,16.8,16.8,0,NA,NA,0,0,0
117,ARE000038509686,ARE,0,0,0,0,90.5,3.3,46.5,140.3,0,46.5,46.5,4,11.625,NA,0,0,0
118,ARE000021305416,ARE,0,0,0,0,24,16.2,0,40.2,0,0,0,0,NA,NA,0,0,0
119,ARE000021305422,ARE,0,0,0,0,0.4,8,2.4,10.8,0,2.4,2.4,2,1.2,NA,0,0,0
120,ARE000021305414,ARE,0,0,0,0,13.5,3.9,18.4,35.8,0,18.4,18.4,3,6.133333333,NA,0,0,0
121,ARE000011502878,ARE,0,0,0,0,25.3,14.3,9.2,48.8,0,9.2,9.2,5,1.84,NA,0,0,0
122,ARE000011502864,ARE,0,0,0,0,45.7,16.9,46.6,109.2,0,46.6,46.6,8,5.825,NA,0,0,0
123,ARE000011502880,ARE,0,0,0,0,21.5,4.6,28.8,54.9,0,28.8,28.8,5,5.76,NA,0,0,0
124,ARE000029407457,ARE,0,0,0,0,0,0,0,49.4,0,49.4,49.4,0,NA,NA,0,0,0
125,ARE000007501921,ARE,0,0,0,0,53.4,3.6,0,57,0,0,0,0,NA,NA,0,0,0
126,ARE000007501920,ARE,0,0,0,0,143.4,9.5,0,152.9,0,0,0,0,NA,NA,0,0,0
127,ARE000042710739,ARE,0,0,0,0,27.3,5.6,64.2,97.1,0,64.2,64.2,8,8.025,NA,0,0,0
128,ARE000042710738,ARE,0,0,0,0,3.7,16,5.1,24.8,0,5.1,5.1,3,1.7,NA,0,0,0
129,ARE000042710721,ARE,0,0,0,0,6.9,11.2,7.6,25.7,0,7.6,7.6,3,2.533333333,NA,0,0,0
130,ARE000026206673,ARE,0,0,0,0,0,0,0,19.7,0,19.7,19.7,0,NA,NA,0,0,0
131,ARE000026206653,ARE,0,0,0,0,33.9,3,8.3,45.2,0,8.3,8.3,4,2.075,NA,0,0,0
132,ARE000026206675,ARE,0,0,0,0,0,0,0,11.8,0,11.8,11.8,0,NA,NA,0,0,0
133,ARE000019504980,ARE,0,0,0,0,62.7,3.8,65.2,131.7,0,65.2,65.2,5,13.04,NA,0,0,0
134,ARE000019504991,ARE,0,0,0,0,21.9,14.9,20.3,57.1,0,20.3,20.3,8,2.5375,NA,0,0,0
135,ARE000008602129,ARE,0,0,0,0,12.3,3.4,4.6,20.3,0,4.6,4.6,3,1.533333333,NA,0,0,0
136,ARE000008602108,ARE,0,0,0,0,16.4,9.7,4.6,30.7,0,4.6,4.6,2,2.3,NA,0,0,0
137,ARE000030907847,ARE,0,0,0,0,34.4,2.8,4.4,41.6,0,4.4,4.4,3,1.466666667,NA,0,0,0
138,ARE000030907840,ARE,0,0,0,0,73.4,3.5,24.6,101.5,0,24.6,24.6,3,8.2,NA,0,0,0
139,ARE000030907832,ARE,0,0,0,0,0,0,0,156.9,0,156.9,156.9,0,NA,NA,0,0,0
140,ARE000030907836,ARE,0,0,0,0,91.3,2.7,31.2,125.2,0,31.2,31.2,3,10.4,NA,0,0,0
141,ARE000043510916,ARE,0,0,0,0,0,0,0,15.4,0,15.4,15.4,0,NA,NA,0,0,0
142,ARE000043510912,ARE,0,0,0,0,18.7,5.5,6.5,30.7,0,6.5,6.5,4,1.625,NA,0,0,0
143,ARE000043510921,ARE,0,0,0,0,8.6,23.5,10.6,42.7,0,10.6,10.6,4,2.65,NA,0,0,0
144,ARE000029607518,ARE,0,0,0,0,34.8,2.5,8.1,45.4,0,8.1,8.1,4,2.025,NA,0,0,0
145,ARE000003100744,ARE,0,0,0,0,3.2,12.2,12.8,28.2,0,12.8,12.8,4,3.2,NA,0,0,0
146,ARE000003100764,ARE,0,0,0,0,33.1,4.3,42.5,79.9,0,42.5,42.5,19,2.236842105,NA,0,0,0
147,ARE000003100751,ARE,0,0,0,0,16.5,10.4,2.2,29.1,0,2.2,2.2,3,0.733333333,NA,0,0,0
148,ARE000002300541,ARE,0,0,0,0,7.5,3.6,9.3,20.4,0,9.3,9.3,6,1.55,NA,0,0,0
149,ARE000002300542,ARE,0,0,0,0,8.4,4.3,9.2,21.9,0,9.2,9.2,4,2.3,NA,0,0,0
150,ARE000002300548,ARE,0,0,0,0,13.6,1,19.7,34.3,0,19.7,19.7,3,6.566666667,NA,0,0,0
151,ARE000006001559,ARE,0,0,0,0,0,0,0,35.8,0,35.8,35.8,0,NA,NA,0,0,0
152,ARE000006001557,ARE,23.9,3.8,30.5,34.3,9.3,3.3,88.1,100.7,58.2,29.9,88.1,25,3.524,abab,4,1,0
153,ARE000006001553,ARE,0,0,0,0,9.4,2.8,22.9,35.1,0,22.9,22.9,4,5.725,NA,0,0,0
154,ARE000000200039,ARE,0,0,0,0,11,1.9,9.9,22.8,0,9.9,9.9,9,1.1,NA,0,0,0
155,ARE000000200036,ARE,0,0,0,0,34.6,2.6,14.8,52,0,14.8,14.8,3,4.933333333,NA,0,0,0
156,ARE000000200042,ARE,0,0,0,0,7.1,1.6,0,8.7,0,0,0,0,NA,NA,0,0,0
157,ARE000000200051,ARE,0,28.4,0,28.4,30.6,2.1,52.8,85.5,28.4,24.4,52.8,9,5.866666667,b,1,0,0
158,ARE000022505779,ARE,0,0,0,0,21.5,14.6,15.2,51.3,0,15.2,15.2,4,3.8,NA,0,0,0
159,ARE000022505782,ARE,0,0,0,0,25.4,2.6,12,40,0,12,12,4,3,NA,0,0,0
160,ARE000022505784,ARE,0,0,0,0,10.8,123.5,14.7,149,0,14.7,14.7,2,7.35,NA,0,0,0
161,ARE000024506213,ARE,4.7,4.3,22.5,26.8,7.6,5.7,38.6,51.9,31.5,7.1,38.6,18,2.144444444,babb,4,1,0
162,ARE000024506237,ARE,0,13,0,13,26.3,11,34.6,71.9,13,21.6,34.6,8,4.325,b,1,0,0
163,ARE000035108861,ARE,0,24.8,0,24.8,26.7,2.4,24.8,53.9,24.8,0,24.8,6,4.133333333,b,1,0,0
164,ARE000006601699,ARE,27.6,11.8,0,11.8,19.2,2.2,52.9,74.3,39.4,13.5,52.9,13,4.069230769,ab,2,1,0
165,ARE000043911033,ARE,0,0,0,0,16,20.6,11.2,47.8,0,11.2,11.2,3,3.733333333,NA,0,0,0
166,ARE000043911026,ARE,9.2,0,0,0,30,5.2,16.1,51.3,9.2,6.9,16.1,8,2.0125,a,1,0,0
167,ARE000043911046,ARE,0,21.6,0,21.6,15.3,4.5,21.6,41.4,21.6,0,21.6,4,5.4,b,1,0,0
168,ARE000007601930,ARE,0,0,0,0,17.6,2.9,4.4,24.9,0,4.4,4.4,3,1.466666667,NA,0,0,0
169,ARE000007601925,ARE,0,0,0,0,24.4,3.9,10.3,38.6,0,10.3,10.3,3,3.433333333,NA,0,0,0
170,ARE000041810517,ARE,8.1,7.2,0,7.2,21.3,2.7,64.7,88.7,15.3,49.4,64.7,23,2.813043478,aab,3,1,0
171,ARE000041810530,ARE,6.2,25.2,36.9,62.1,8.8,1,79.2,89,68.3,10.9,79.2,13,6.092307692,bab,3,1,0
172,ARE000041810505,ARE,0,0,0,0,29.6,3.2,6.6,39.4,0,6.6,6.6,4,1.65,NA,0,0,0
173,ARE000007801989,ARE,0,0,0,0,18.7,3.2,20.6,42.5,0,20.6,20.6,4,5.15,NA,0,0,0
174,ARE000009502338,ARE,0,30.2,0,30.2,20.1,2.9,30.2,53.2,30.2,0,30.2,4,7.55,b,1,0,0
175,ARE000009502331,ARE,24.6,5.5,7.2,12.7,11.9,3.9,40.2,56,37.3,2.9,40.2,17,2.364705882,abab,4,1,0
176,ARE000009502346,ARE,19.6,16.1,0,16.1,31.9,3.6,36.8,72.3,35.7,1.1,36.8,8,4.6,ab,2,1,0
177,ARE000025206429,ARE,0,0,0,0,23.2,7.5,7.2,37.9,0,7.2,7.2,3,2.4,NA,0,0,0
178,ARE000025206448,ARE,6.5,0,10.1,10.1,0.3,2.9,18.9,22.1,16.6,2.3,18.9,13,1.453846154,ab,2,0,0
179,ARE000025206442,ARE,23.8,0,0,0,10.7,5,49.1,64.8,23.8,25.3,49.1,12,4.091666667,a,1,0,0
180,ARE000020705270,ARE,0,16.8,0,16.8,28.4,2.6,16.8,47.8,16.8,0,16.8,4,4.2,b,1,0,0
181,ARE000020705255,ARE,0,0,0,0,13.3,15.3,3.1,31.7,0,3.1,3.1,3,1.033333333,NA,0,0,0
182,ARE000020705263,ARE,0,0,0,0,14.8,4.7,22,41.5,0,22,22,3,7.333333333,NA,0,0,0
183,ARE000017104348,ARE,0,5.3,24.6,29.9,21.3,3.1,38.5,62.9,29.9,8.6,38.5,18,2.138888889,bb,2,0,0
184,ARE000017104340,ARE,19.3,8,15.6,23.6,20.7,2.8,46.7,70.2,42.9,3.8,46.7,19,2.457894737,abab,4,1,0
185,ARE000017104333,ARE,9.3,10.3,33.7,44,24.9,3.8,58.1,86.8,53.3,4.8,58.1,22,2.640909091,babab,5,1,0
186,ARE000022705823,ARE,0,22.3,0,22.3,33.8,5.6,22.3,61.7,22.3,0,22.3,4,5.575,b,1,0,0
187,ARE000030007614,ARE,0,26.6,0,26.6,34.5,3.4,26.6,64.5,26.6,0,26.6,4,6.65,b,1,0,0
188,ARE000030007622,ARE,0,0,0,0,49,3.1,20.1,72.2,0,20.1,20.1,5,4.02,NA,0,0,0
189,ARE000030007618,ARE,56.8,8.8,0,8.8,31.5,3.6,83.7,118.8,65.6,18.1,83.7,14,5.978571429,aab,3,1,0
190,ARE000003400822,ARE,0,18.8,0,18.8,13.1,2.6,18.8,34.5,18.8,0,18.8,4,4.7,b,1,0,0
191,ARE000003400818,ARE,0,0,0,0,49.1,7.6,18.7,75.4,0,18.7,18.7,4,4.675,NA,0,0,0
192,ARE000003400806,ARE,0,0,0,0,19.9,3.2,27.7,50.8,0,27.7,27.7,3,9.233333333,NA,0,0,0
193,ARE000001700420,ARE,0,0,0,0,135.1,1.4,20.6,157.1,0,20.6,20.6,4,5.15,NA,0,0,0
194,ARE000001700407,ARE,7.4,5.7,37,42.7,17,12.3,59.4,88.7,50.1,9.3,59.4,24,2.475,babab,5,1,0
195,ARE000016304107,ARE,0,0,0,0,30.1,9.3,4.6,44,0,4.6,4.6,3,1.533333333,NA,0,0,0
196,ARE000016304087,ARE,0,0,0,0,4.9,2.7,8.5,16.1,0,8.5,8.5,3,2.833333333,NA,0,0,0
197,ARE000016304110,ARE,0,0,0,0,7.6,2.6,15.8,26,0,15.8,15.8,3,5.266666667,NA,0,0,0
198,ARE000016304108,ARE,0,0,0,0,0,0,0,10.2,0,10.2,10.2,0,NA,NA,0,0,0
199,ARE000032808321,ARE,0,13.8,0,13.8,11,6.9,50.1,68,13.8,36.3,50.1,8,6.2625,b,1,0,0
200,ARE000032808324,ARE,0,0,0,0,42.6,3.9,21.9,68.4,0,21.9,21.9,4,5.475,NA,0,0,0
201,ARE000032808325,ARE,0,39.6,0,39.6,27.6,28,39.6,95.2,39.6,0,39.6,4,9.9,b,1,0,0
202,ARE000032808330,ARE,9.1,6.7,0,6.7,27.3,6.4,39.6,73.3,15.8,23.8,39.6,12,3.3,ab,2,1,0
203,ARE000033908599,ARE,0,0,0,0,0,0,0,9.6,0,9.6,9.6,0,NA,NA,0,0,0
204,ARE000033908578,ARE,0,0,0,0,9.9,16.5,13.5,39.9,0,13.5,13.5,4,3.375,NA,0,0,0
205,ARE000033908598,ARE,0,0,0,0,10.1,9.6,29.7,49.4,0,29.7,29.7,3,9.9,NA,0,0,0
206,ARE000006201602,ARE,0,0,0,0,24.2,4.7,0,28.9,0,0,0,0,NA,NA,0,0,0
207,ARE000006201612,ARE,0,33.7,0,33.7,25.8,4.4,33.7,63.9,33.7,0,33.7,4,8.425,b,1,0,0
208,ARE000006201606,ARE,0,0,0,0,0,0,0,8.1,0,8.1,8.1,0,NA,NA,0,0,0
209,ARE000038309642,ARE,0,0,0,0,0,0,0,32.3,0,32.3,32.3,0,NA,NA,0,0,0
210,ARE000038309651,ARE,0,0,0,0,18.6,3.6,25.2,47.4,0,25.2,25.2,4,6.3,NA,0,0,0
211,ARE000032608304,ARE,0,0,0,0,0,0,0,37,0,37,37,0,NA,NA,0,0,0
212,ARE000032608286,ARE,0,24.4,0,24.4,19.7,2.8,24.4,46.9,24.4,0,24.4,4,6.1,b,1,0,0
213,ARE000032608302,ARE,24.5,0,0,0,25.8,4.3,35.6,65.7,24.5,11.1,35.6,11,3.236363636,a,1,0,0
214,ARE000018404684,ARE,0,0,0,0,24.3,11.9,12.4,48.6,0,12.4,12.4,3,4.133333333,NA,0,0,0
215,ARE000018404701,ARE,0,27.9,0,27.9,26.7,4.5,27.9,59.1,27.9,0,27.9,4,6.975,b,1,0,0
216,ARE000018404695,ARE,0,0,0,0,14,3.8,14.6,32.4,0,14.6,14.6,3,4.866666667,NA,0,0,0
217,ARE000018404678,ARE,0,0,0,0,29.4,5.9,51.1,86.4,0,51.1,51.1,7,7.3,NA,0,0,0
218,ARE000037409436,ARE,23.5,12.6,10.2,22.8,24.2,5.6,55.5,85.3,46.3,9.2,55.5,28,1.982142857,aabab,5,1,0
219,ARE000037409440,ARE,5.1,11.2,31.4,42.6,42,8.3,56.9,107.2,47.7,9.2,56.9,19,2.994736842,bab,3,1,0
220,ARE000037409432,ARE,0,22.9,0,22.9,7,4.2,22.9,34.1,22.9,0,22.9,5,4.58,b,1,0,0
