stu_id,credit,sequence,length
ARE000038209628,1,bab,3.0
ARE000038209616,0,b,1.0
ARE000000300058,1,ab,2.0
ARE000000300059,1,ab,2.0
ARE000014903744,0,b,1.0
ARE000039810023,0,b,1.0
ARE000041710497,1,bab,3.0
ARE000026706813,0,b,1.0
ARE000026706811,0,b,1.0
ARE000019404962,0,b,1.0
ARE000019404949,1,babb,4.0
ARE000004000994,1,ab,2.0
ARE000033708530,0,a,1.0
ARE000033708519,0,a,1.0
ARE000021705552,1,ab,2.0
ARE000021705535,0,b,1.0
ARE000036909315,1,aaaaaaab,8.0
ARE000036909285,0,b,1.0
ARE000016704216,1,bbab,4.0
ARE000022205684,0,b,1.0
ARE000001300304,1,abab,4.0
ARE000001300286,0,a,1.0
ARE000016104044,0,b,1.0
ARE000025406461,1,abb,3.0
ARE000025406483,1,bab,3.0
ARE000023105923,1,ab,2.0
ARE000036109084,1,bab,3.0
ARE000035909041,1,ab,2.0
ARE000011702941,1,ab,2.0
ARE000012203031,1,bab,3.0
ARE000042310631,0,b,1.0
ARE000021505489,1,ab,2.0
ARE000021505479,1,ab,2.0
ARE000025106390,1,aab,3.0
ARE000027507031,0,b,1.0
ARE000027507017,0,b,1.0
ARE000038709753,1,abb,3.0
ARE000001600382,0,b,1.0
ARE000028107172,0,b,1.0
ARE000028107175,0,a,1.0
ARE000028107178,0,a,1.0
ARE000019705047,1,ab,2.0
ARE000019705054,0,a,1.0
ARE000039509954,1,bab,3.0
ARE000005501421,1,bab,3.0
ARE000002800664,0,b,1.0
ARE000002800660,0,b,1.0
ARE000041410436,1,ab,2.0
ARE000041410437,1,bab,3.0
ARE000041410433,1,ab,2.0
ARE000010502605,0,b,1.0
ARE000010502610,0,b,1.0
ARE000031608046,0,a,1.0
ARE000031608037,0,b,1.0
ARE000031608039,1,abab,4.0
ARE000015803972,1,bab,3.0
ARE000015803952,0,b,1.0
ARE000015803973,0,ab,2.0
ARE000011202769,0,b,1.0
ARE000037309403,1,ab,2.0
ARE000037309400,0,b,1.0
ARE000040510203,1,ab,2.0
ARE000040510209,0,ba,2.0
ARE000026806844,1,bab,3.0
ARE000033308439,0,aa,2.0
ARE000018104613,0,bb,2.0
ARE000000400093,1,bab,3.0
ARE000000400106,1,ab,2.0
ARE000020005113,0,b,1.0
ARE000020005121,0,a,1.0
ARE000042610703,1,aab,3.0
ARE000042610704,1,ab,2.0
ARE000042610713,1,bab,3.0
ARE000042610714,0,b,1.0
ARE000006101583,0,b,1.0
ARE000006101596,0,b,1.0
ARE000010802666,0,b,1.0
ARE000010802674,1,ab,2.0
ARE000017404411,1,abab,4.0
ARE000017404426,1,abab,4.0
ARE000035608951,0,ab,2.0
ARE000014803724,1,ab,2.0
ARE000014803713,1,abab,4.0
ARE000042110585,0,a,1.0
ARE000042110587,0,aaaaaaaaa,9.0
ARE000033608504,1,bab,3.0
ARE000012303067,1,ab,2.0
ARE000012303060,1,abbab,5.0
ARE000030307720,0,b,1.0
ARE000003600884,0,b,1.0
ARE000035508924,0,aa,2.0
ARE000035508942,0,b,1.0
ARE000035708987,0,bb,2.0
ARE000035708979,0,b,1.0
ARE000035708980,1,ab,2.0
ARE000024606266,1,bab,3.0
ARE000024606258,1,ab,2.0
ARE000045111333,0,b,1.0
ARE000019004895,0,b,1.0
ARE000019004881,1,ab,2.0
ARE000043110843,0,b,1.0
ARE000002000502,0,b,1.0
ARE000008202018,0,b,1.0
ARE000008202041,1,ab,2.0
ARE000004301073,0,b,1.0
ARE000015603889,0,a,1.0
ARE000015603908,1,ab,2.0
ARE000043010821,0,b,1.0
ARE000029507514,0,b,1.0
ARE000029507493,0,b,1.0
ARE000040310172,0,b,1.0
ARE000017004315,0,b,1.0
ARE000012803183,1,ab,2.0
ARE000012803186,0,b,1.0
ARE000025906589,0,b,1.0
ARE000019104904,1,bab,3.0
ARE000019104902,0,b,1.0
ARE000009102235,0,bb,2.0
ARE000021405468,1,ab,2.0
ARE000019605007,0,b,1.0
ARE000040710262,0,b,1.0
ARE000030407729,0,b,1.0
ARE000030407760,0,b,1.0
ARE000045811484,1,aab,3.0
ARE000023606035,1,ab,2.0
ARE000027106914,0,a,1.0
ARE000023706059,1,ab,2.0
ARE000023706055,1,ab,2.0
ARE000039309908,0,b,1.0
ARE000014303604,0,b,1.0
ARE000032708307,0,a,1.0
ARE000040610213,1,ab,2.0
ARE000040610220,1,ab,2.0
ARE000040610214,0,b,1.0
ARE000027407004,1,ab,2.0
ARE000001800437,0,b,1.0
ARE000020905322,0,b,1.0
ARE000036209112,1,ab,2.0
ARE000010202495,0,a,1.0
ARE000006701718,0,b,1.0
ARE000015403874,0,a,1.0
ARE000042910781,1,bab,3.0
AUS000003200615,0,b,1.0
AUS000065312198,0,bb,2.0
AUS000065312202,1,ab,2.0
AUS000065312190,1,bab,3.0
AUS000018403450,1,ab,2.0
AUS000013902574,0,b,1.0
AUS000013902590,0,b,1.0
AUS000013902597,1,bab,3.0
AUS000036906804,0,b,1.0
AUS000072413486,1,ab,2.0
AUS000014602748,1,ab,2.0
AUS000004400849,1,bab,3.0
AUS000068912889,1,ab,2.0
AUS000070313133,1,abab,4.0
AUS000070313123,0,b,1.0
AUS000075014035,0,b,1.0
AUS000002800542,0,a,1.0
AUS000002800552,0,ba,2.0
AUS000073813795,0,b,1.0
AUS000073813791,0,bb,2.0
AUS000077014373,1,bab,3.0
AUS000077014372,0,b,1.0
AUS000016203034,1,aaaaab,6.0
AUS000016203039,1,ab,2.0
AUS000027305080,0,b,1.0
AUS000048609011,1,ab,2.0
AUS000048609015,1,bab,3.0
AUS000060111204,0,b,1.0
AUS000040207434,0,aba,3.0
AUS000005401039,1,bbab,4.0
AUS000042507858,1,abab,4.0
AUS000042507870,1,ab,2.0
AUS000000300041,1,abab,4.0
AUS000020003731,1,abab,4.0
AUS000020003715,1,abab,4.0
AUS000073713763,1,abab,4.0
AUS000073713766,1,ab,2.0
AUS000042807925,1,ab,2.0
AUS000001300236,1,ab,2.0
AUS000001300240,1,ab,2.0
AUS000037606951,1,bab,3.0
AUS000037606956,1,ab,2.0
AUS000004900939,1,bab,3.0
AUS000004900936,0,b,1.0
AUS000048909074,1,ab,2.0
AUS000027705167,1,ab,2.0
AUS000027705186,1,ab,2.0
AUS000075214067,0,a,1.0
AUS000075214065,0,a,1.0
AUS000034706445,1,bab,3.0
AUS000034706444,1,aaaaabab,8.0
AUS000049009082,1,ab,2.0
AUS000049009077,1,bab,3.0
AUS000049009093,1,ababb,5.0
AUS000041207618,1,ababab,6.0
AUS000000800138,1,abab,4.0
AUS000043408035,0,b,1.0
AUS000043408055,0,b,1.0
AUS000064912112,0,b,1.0
AUS000064912119,1,ab,2.0
AUS000064912108,1,ab,2.0
AUS000033606251,1,abab,4.0
AUS000001200216,1,ab,2.0
AUS000001200217,0,b,1.0
AUS000005301013,0,b,1.0
AUS000048308947,1,ab,2.0
AUS000048308943,0,b,1.0
AUS000038807177,1,ab,2.0
AUS000021303948,0,b,1.0
AUS000052709795,0,b,1.0
AUS000073513725,0,b,1.0
AUS000073513733,0,ba,2.0
AUS000032306008,0,b,1.0
AUS000029605501,1,ab,2.0
AUS000029605502,1,ab,2.0
AUS000001800333,0,b,1.0
AUS000001800335,1,ab,2.0
AUS000001800337,0,b,1.0
AUS000044708291,1,bab,3.0
AUS000044708282,1,bab,3.0
AUS000044708295,0,b,1.0
AUS000066812490,1,ab,2.0
AUS000066812499,0,b,1.0
AUS000066812501,1,ab,2.0
AUS000037106854,0,b,1.0
AUS000037106847,0,a,1.0
AUS000065912323,0,ab,2.0
AUS000065912326,0,b,1.0
AUS000027205071,0,a,1.0
AUS000031405844,0,b,1.0
AUS000031405839,1,aab,3.0
AUS000031405828,0,b,1.0
AUS000033106152,1,abab,4.0
AUS000033106142,1,ab,2.0
AUS000056310472,1,ab,2.0
AUS000056310475,1,ab,2.0
AUS000003000582,0,b,1.0
AUS000003000575,1,bab,3.0
AUS000003000584,1,ab,2.0
AUS000003000574,1,bab,3.0
AUS000048508986,1,ab,2.0
AUS000048508978,0,bb,2.0
AUS000055610333,1,bab,3.0
AUS000055610346,0,a,1.0
AUS000049409171,1,abbbab,6.0
AUS000049409179,0,aa,2.0
AUS000049409166,0,b,1.0
AUS000015102844,0,b,1.0
AUS000070713202,0,b,1.0
AUS000070713192,1,ab,2.0
AUS000035306564,0,a,1.0
AUS000035306566,1,abab,4.0
AUS000005000957,0,aa,2.0
AUS000005000964,1,ab,2.0
AUS000060411259,0,b,1.0
AUS000042107776,0,a,1.0
AUS000073013616,1,abaaaaaaaaab,12.0
AUS000073013620,0,b,1.0
AUS000032706074,1,ab,2.0
AUS000025304659,1,bab,3.0
AUS000025304662,1,abb,3.0
AUS000033306190,0,b,1.0
AUS000033306197,0,b,1.0
AUS000072913600,0,a,1.0
AUS000055710350,1,ab,2.0
AUS000055710364,0,b,1.0
AUS000055710354,0,a,1.0
AUS000064111964,1,abab,4.0
AUS000064111961,1,ab,2.0
AUS000011202085,0,b,1.0
AUS000074713960,1,abab,4.0
AUS000074213875,0,b,1.0
AUS000074213870,1,ab,2.0
AUS000074213865,0,b,1.0
AUS000007701440,0,a,1.0
AUS000007701445,0,b,1.0
AUS000007701454,1,abab,4.0
AUS000007701452,1,abab,4.0
AUS000044208195,0,a,1.0
AUS000059611091,1,ab,2.0
AUS000042407847,1,ab,2.0
AUS000029805534,1,bab,3.0
AUS000012202278,0,b,1.0
AUS000012202270,0,aba,3.0
AUS000075314083,0,a,1.0
AUS000075314091,0,b,1.0
AUS000010001882,1,ab,2.0
AUS000070413149,0,b,1.0
AUS000014802788,0,bb,2.0
AUS000014802790,1,ab,2.0
AUS000053109848,0,b,1.0
AUS000053109861,1,aaaaab,6.0
AUS000034806485,0,b,1.0
AUS000051409558,1,bab,3.0
AUS000072213453,1,abab,4.0
AUS000072213452,0,ba,2.0
AUS000044608279,0,b,1.0
AUS000021503989,0,b,1.0
AUS000008301552,0,b,1.0
AUS000008301551,0,a,1.0
AUS000028705358,1,ab,2.0
AUS000051309529,0,a,1.0
AUS000019903701,0,b,1.0
AUS000013002413,0,a,1.0
AUS000076114231,1,bab,3.0
AUS000051009487,0,b,1.0
AUS000051009479,0,a,1.0
AUS000007601436,1,ab,2.0
AUS000035406577,1,bbabb,5.0
AUS000035406576,0,b,1.0
AUS000059211032,1,ab,2.0
AUS000063811916,0,bb,2.0
AUS000042207797,1,ab,2.0
AUS000042207803,1,ab,2.0
AUS000042207795,0,b,1.0
AUS000067312580,0,b,1.0
AUS000067312595,0,b,1.0
AUS000061811521,0,b,1.0
AUS000065712292,0,b,1.0
AUS000065712291,1,ab,2.0
AUS000065712288,0,b,1.0
AUS000016003007,1,ab,2.0
AUS000016002998,1,ab,2.0
AUS000016002993,1,abab,4.0
AUS000011602155,0,b,1.0
AUS000030005552,1,abbab,5.0
AUS000030005566,0,a,1.0
AUS000030005559,1,bab,3.0
AUS000015002825,1,abab,4.0
AUS000063911920,1,ab,2.0
AUS000001900360,1,abab,4.0
AUS000027405108,0,b,1.0
AUS000034106349,0,a,1.0
AUS000034106342,1,ab,2.0
AUS000052409738,1,bab,3.0
AUS000052409737,0,a,1.0
AUS000000200020,1,abab,4.0
AUS000000200033,0,b,1.0
AUS000011502137,0,b,1.0
AUS000009801843,1,bab,3.0
AUS000006601251,1,ab,2.0
AUS000006601250,1,ab,2.0
AUS000002100390,0,bb,2.0
AUS000058910986,0,a,1.0
AUS000037906995,0,b,1.0
AUS000037907015,1,bab,3.0
AUS000009101697,1,ab,2.0
AUS000009101701,0,b,1.0
AUS000045908528,0,a,1.0
AUS000045908522,0,b,1.0
AUS000022804216,1,bab,3.0
AUS000022804223,0,b,1.0
AUS000022804230,0,b,1.0
AUS000031705889,0,bb,2.0
AUS000031705906,1,ab,2.0
AUS000031705892,1,ab,2.0
AUS000031705899,1,ab,2.0
AUS000013802561,1,bab,3.0
AUS000013802559,0,b,1.0
AUS000030605692,1,ab,2.0
AUS000030605694,0,b,1.0
AUS000030605693,1,abaab,5.0
AUS000030605695,1,ab,2.0
AUS000026004818,0,bb,2.0
AUS000026004830,1,bab,3.0
AUS000026004822,1,ab,2.0
AUS000043808113,0,ab,2.0
AUS000043808101,1,ab,2.0
AUS000043808112,1,bab,3.0
AUS000046808661,1,abab,4.0
AUS000046808676,0,b,1.0
AUS000024604528,1,bab,3.0
AUS000024604545,0,b,1.0
AUS000009001673,1,abaaaaabb,9.0
AUS000009001685,1,ab,2.0
AUS000049609222,1,ab,2.0
AUS000061011370,1,bab,3.0
AUS000061011369,1,ab,2.0
AUS000003100600,1,bab,3.0
AUS000003100609,1,ab,2.0
AUS000005201001,0,b,1.0
AUS000009201710,0,a,1.0
AUS000023704371,0,b,1.0
AUS000023704363,1,bab,3.0
AUS000073913805,1,abaaaaab,8.0
AUS000044808308,1,abab,4.0
AUS000044808317,1,abab,4.0
AUS000044808305,1,abbab,5.0
AUS000075614140,1,ab,2.0
AUS000075614145,1,abab,4.0
AUS000075614135,1,abab,4.0
AUS000027505143,1,bab,3.0
AUS000017103228,0,a,1.0
AUS000048008888,0,a,1.0
AUS000048008885,1,ab,2.0
AUS000033906309,0,b,1.0
AUS000023104269,1,ab,2.0
AUS000040107422,0,bb,2.0
AUS000040107420,1,ab,2.0
AUS000009701822,0,b,1.0
AUS000009701826,1,ab,2.0
AUS000009701813,1,abaaaaab,8.0
AUS000017803360,1,abab,4.0
AUS000017803345,0,bb,2.0
AUS000017803350,1,ab,2.0
AUS000043708091,1,babb,4.0
AUS000043708094,1,bab,3.0
AUS000017503290,0,a,1.0
AUS000017503293,0,a,1.0
AUS000033206180,1,ab,2.0
AUS000033206168,1,bab,3.0
AUS000033206172,0,b,1.0
AUS000010702000,0,b,1.0
AUS000010702001,0,a,1.0
AUS000024104455,1,bab,3.0
AUS000047508803,0,ba,2.0
AUS000024804580,0,b,1.0
AUS000073413689,1,ab,2.0
AUS000073413708,0,a,1.0
AUS000075814169,0,b,1.0
AUS000050109312,1,ab,2.0
AUS000007401394,0,b,1.0
AUS000030705712,1,bab,3.0
AUS000006401224,1,bab,3.0
AUS000015202856,0,b,1.0
AUS000007101315,1,abab,4.0
AUS000007101326,0,b,1.0
AUS000057410697,1,bab,3.0
AUS000057410687,1,bab,3.0
AUS000057410685,0,aa,2.0
AUS000069913042,0,bbb,3.0
AUS000069913049,1,bab,3.0
AUS000001500277,0,b,1.0
AUS000001500271,0,b,1.0
AUS000001500284,1,babb,4.0
AUS000029405477,0,b,1.0
AUS000066712474,1,ab,2.0
AUS000066712479,1,abab,4.0
AUS000062211599,0,b,1.0
AUS000031605873,0,b,1.0
AUS000072813577,1,bab,3.0
AUS000072813579,0,b,1.0
AUS000055310279,1,ab,2.0
AUS000055310271,0,b,1.0
AUS000007801473,0,bb,2.0
AUS000007801474,1,ab,2.0
AUS000060711315,0,b,1.0
AUS000015302883,1,ab,2.0
AUS000004000784,0,a,1.0
AUS000004000779,1,abab,4.0
AUS000072613534,1,aab,3.0
AUS000072613538,1,abab,4.0
AUS000032005951,0,a,1.0
AUS000059511082,1,ab,2.0
AUS000059511083,0,b,1.0
AUS000025904809,1,ab,2.0
AUS000025904800,1,ab,2.0
AUS000025904816,1,abab,4.0
AUS000075414097,0,b,1.0
AUS000072013421,1,babb,4.0
AUS000072013430,1,bab,3.0
AUS000043908128,1,ab,2.0
AUS000043908130,1,bab,3.0
AUS000001000169,0,b,1.0
AUS000010101889,0,b,1.0
AUS000010101887,1,bab,3.0
AUS000010101897,1,bab,3.0
AUS000014502718,0,b,1.0
AUS000014502725,0,b,1.0
AUS000036306710,0,a,1.0
AUS000039007206,1,abab,4.0
AUS000039007208,0,b,1.0
AUS000062911713,1,ababaaaaab,10.0
AUS000062911725,0,b,1.0
AUS000006501232,1,ab,2.0
AUS000006501236,1,bab,3.0
AUS000052009653,0,a,1.0
AUS000052009666,1,bab,3.0
AUS000023604347,0,b,1.0
AUS000064011945,0,b,1.0
AUS000071113272,0,a,1.0
AUS000076214241,1,ab,2.0
AUS000076214247,0,b,1.0
AUS000076214242,1,ab,2.0
AUS000054010029,0,b,1.0
AUS000054010043,1,bab,3.0
AUS000054010033,0,a,1.0
AUS000017303250,1,abab,4.0
AUS000053709972,0,b,1.0
AUS000053709979,1,ab,2.0
AUS000067012527,0,a,1.0
AUS000067012521,0,b,1.0
AUS000067012519,1,bab,3.0
AUS000026604949,0,bb,2.0
AUS000026604952,1,ab,2.0
AUS000026604953,1,bab,3.0
AUS000060211212,0,b,1.0
AUS000060211213,1,abab,4.0
AUS000028605337,0,b,1.0
AUS000034006322,0,a,1.0
AUS000034006321,1,abab,4.0
AUS000034006325,1,abbab,5.0
AUS000034006332,0,b,1.0
AUS000069512994,1,ab,2.0
AUS000069512979,1,babab,5.0
AUS000060311236,1,ab,2.0
AUS000060311242,0,ab,2.0
AUS000044308203,0,bb,2.0
AUS000009301743,1,bab,3.0
AUS000009301733,1,bab,3.0
AUS000021403971,1,ab,2.0
AUS000021403963,1,bab,3.0
AUS000021403979,1,ab,2.0
AUS000058110812,1,abab,4.0
AUS000012302295,1,ab,2.0
AUS000012302286,0,b,1.0
AUS000068612827,1,ab,2.0
AUS000014002614,0,a,1.0
AUS000014002615,1,abab,4.0
AUS000025004604,1,abab,4.0
AUS000025004610,1,ab,2.0
AUS000016603121,0,a,1.0
AUS000016603120,0,b,1.0
AUS000056510499,1,bab,3.0
AUS000059311049,1,ab,2.0
AUS000034506406,1,ab,2.0
AUS000034506401,0,a,1.0
AUS000040007398,1,bab,3.0
AUS000009401765,1,bab,3.0
AUS000036206689,0,b,1.0
AUS000036206695,1,babab,5.0
AUS000036506734,1,bab,3.0
AUS000036506733,1,ab,2.0
AUS000061611488,1,ab,2.0
AUS000075914197,0,a,1.0
AUS000075714166,1,ababab,6.0
AUS000075714153,0,b,1.0
AUS000074313885,0,a,1.0
AUS000027605162,1,ab,2.0
AUS000027605161,1,bab,3.0
AUS000027605156,1,bab,3.0
AUS000027605152,0,a,1.0
AUS000051509578,0,a,1.0
AUS000051509565,1,bab,3.0
AUS000051509577,0,bb,2.0
AUS000064212000,1,ab,2.0
AUS000057510710,0,b,1.0
AUS000023904406,0,b,1.0
AUS000020803853,1,ab,2.0
AUS000074413905,1,bab,3.0
AUS000074413894,1,ab,2.0
AUS000052109680,1,ab,2.0
AUS000052109687,1,ab,2.0
AUS000052109674,1,ab,2.0
AUS000006901300,1,ab,2.0
AUS000024204461,0,b,1.0
AUS000067112545,0,b,1.0
AUS000067112542,0,b,1.0
AUS000067112549,1,bab,3.0
AUS000020703835,0,aa,2.0
AUS000020703831,0,b,1.0
AUS000020703837,1,abb,3.0
AUS000047908880,1,bab,3.0
AUS000047908874,0,b,1.0
AUS000012802387,0,b,1.0
AUS000040407473,0,a,1.0
AUS000040407478,0,b,1.0
AUS000002000371,1,abab,4.0
AUS000002000375,1,bab,3.0
AUS000015402900,1,ab,2.0
AUS000015402894,0,a,1.0
AUS000035506587,1,abab,4.0
AUS000035506596,1,abab,4.0
AUS000035506593,0,b,1.0
AUS000075114056,1,bab,3.0
AUS000075114047,1,abab,4.0
AUS000065512249,1,ab,2.0
AUS000065512250,0,b,1.0
AUS000065512253,1,ab,2.0
AUS000065512242,1,bab,3.0
AUS000002900558,1,ab,2.0
AUS000002900556,1,bab,3.0
AUS000002900557,1,ab,2.0
AUS000040707525,0,a,1.0
AUS000051809623,1,abab,4.0
AUS000051809632,1,abab,4.0
AUS000026804980,1,bab,3.0
AUS000030505688,1,bab,3.0
AUS000030505687,1,abab,4.0
AUS000036606762,0,b,1.0
AUS000011702173,1,ab,2.0
AUS000011702175,1,ab,2.0
AUS000050409370,1,abab,4.0
AUS000065112152,0,a,1.0
AUS000031305809,0,ba,2.0
AUS000027105048,1,abab,4.0
AUS000027105039,0,bb,2.0
AUS000057910779,1,abab,4.0
AUS000054410138,0,b,1.0
AUS000019803687,1,ab,2.0
AUS000019803675,0,a,1.0
AUS000031905937,1,bab,3.0
AUS000031905931,1,ab,2.0
AUS000031905928,1,ab,2.0
AUS000056110438,0,b,1.0
AUS000056110435,0,b,1.0
AUS000010902029,0,b,1.0
AUS000010902034,0,aa,2.0
AUS000012902406,0,b,1.0
AUS000076814349,1,bab,3.0
AUS000035706625,0,b,1.0
AUS000028805374,0,b,1.0
AUS000028805369,1,ab,2.0
AUS000050209343,1,abab,4.0
AUS000050209336,1,ab,2.0
AUS000050209339,1,abab,4.0
AUS000047708831,1,bab,3.0
AUS000047708830,0,a,1.0
AUS000047708841,0,b,1.0
AUS000047708833,1,ab,2.0
AUS000040307455,0,a,1.0
AUS000040307463,0,b,1.0
AUS000040307461,1,ab,2.0
AUS000040307468,0,b,1.0
AUS000049209157,0,a,1.0
AUS000049209151,0,b,1.0
AUS000006801281,0,b,1.0
AUS000029205442,0,b,1.0
AUS000047408766,0,b,1.0
AUS000023404317,0,b,1.0
AUS000023404320,1,ab,2.0
AUS000011102064,0,b,1.0
AUS000008001507,0,b,1.0
AUS000008001513,1,ab,2.0
AUS000035606604,0,b,1.0
AUS000035606607,0,a,1.0
AUS000035606613,1,ab,2.0
AUS000039207240,1,bab,3.0
AUS000077414452,1,abab,4.0
AUS000041407640,0,b,1.0
AUS000041407655,1,abbab,5.0
AUS000041407644,1,ab,2.0
AUS000014202664,1,abab,4.0
AUS000014202661,1,abab,4.0
AUS000014202651,0,b,1.0
AUS000061711506,0,b,1.0
AUS000061711503,1,bab,3.0
AUS000061711511,0,b,1.0
AUS000024504523,1,bbab,4.0
AUS000028905400,0,b,1.0
AUS000028905390,1,bab,3.0
AUS000028905391,0,a,1.0
AUS000066612465,1,abb,3.0
AUS000074513928,0,b,1.0
AUS000036406726,1,bab,3.0
AUS000036406714,1,ab,2.0
AUS000055010231,1,bab,3.0
AUS000026404908,0,b,1.0
AUS000026404903,1,ab,2.0
AUS000026404915,1,abab,4.0
AUS000026404911,1,abab,4.0
AUS000046308585,1,ab,2.0
AUS000046308583,1,bbabb,5.0
AUS000046308574,1,ab,2.0
AUS000010802015,1,abab,4.0
AUS000051609584,1,ab,2.0
AUS000051609594,1,bab,3.0
AUS000048709025,1,abab,4.0
AUS000048709029,1,abab,4.0
AUS000048709035,1,bab,3.0
AUS000048709022,1,ab,2.0
AUS000076514284,1,ab,2.0
AUS000076514292,0,a,1.0
AUS000076514291,1,bab,3.0
AUS000076514290,1,abab,4.0
AUS000062111587,1,ab,2.0
AUS000062111574,1,abab,4.0
AUS000053609965,1,abab,4.0
AUS000063611859,1,abab,4.0
AUS000063611852,0,a,1.0
AUS000063611851,1,ab,2.0
